reliability_class,reliability_class_label,reliability_score
0,HIGH,97.8270367544826
1,LOW,67.67111222089206
0,HIGH,96.55380052578586
0,HIGH,96.62240598302134
2,MEDIUM,87.67349336893373
0,HIGH,99.74031054623498
1,LOW,10.964942429583004
1,LOW,4.724140374880897
1,LOW,74.13919745394057
2,MEDIUM,89.5666786848332
2,MEDIUM,85.05071719086015
1,LOW,29.836788520899844
2,MEDIUM,85.34068844645635
0,HIGH,96.64813552725693
0,HIGH,95.51024903492124
1,LOW,18.49036284867368
1,LOW,79.08712965858167
1,LOW,60.837868636349626
2,MEDIUM,88.45955781870855
1,LOW,65.49970514768086
1,LOW,79.47963341408138
2,MEDIUM,93.7577413781237
2,MEDIUM,88.67770443765579
1,LOW,71.50796987075869
1,LOW,60.13211096605312
1,LOW,73.6014832830529
1,LOW,48.51204541811093
2,MEDIUM,94.94320417584456
1,LOW,79.24054440528556
2,MEDIUM,87.72886519277513
1,LOW,78.85898774054293
1,LOW,8.438244630523704
2,MEDIUM,87.28198851269737
0,HIGH,96.2876987151855
1,LOW,29.08636377657181
2,MEDIUM,86.95945485144955
2,MEDIUM,88.84815461578177
0,HIGH,96.36275078564204
1,LOW,54.01812304341963
0,HIGH,97.94783624228252
2,MEDIUM,88.3427421399673
1,LOW,61.83370348781936
0,HIGH,99.85721718584476
1,LOW,16.69444178799816
1,LOW,81.56956863228305
1,LOW,82.16391750620238
0,HIGH,95.75627496053232
1,LOW,72.32382115027629
0,HIGH,99.49583944011532
0,HIGH,95.59489600610748
1,LOW,40.37954062649775
2,MEDIUM,90.52895163839662
2,MEDIUM,87.29489230177127
2,MEDIUM,88.51684795615225
1,LOW,43.11047996806244
0,HIGH,96.38303919725726
2,MEDIUM,88.44180708189985
1,LOW,43.21724383434519
2,MEDIUM,91.0395134231014
0,HIGH,99.73905820299564
1,LOW,58.61663268190899
0,HIGH,99.6853173045799
1,LOW,20.13345936802513
1,LOW,45.89006586252749
0,HIGH,95.5078201800501
1,LOW,32.279459170794524
1,LOW,58.95516273557312
1,LOW,67.80303580599175
1,LOW,76.31236526476289
1,LOW,37.71036352638614
0,HIGH,97.29228693342576
1,LOW,14.579904293045743
1,LOW,66.56824101964631
1,LOW,75.22917556232004
1,LOW,71.50246726724919
